股票代码,market_code,所属概念数量,所属概念,code
605337.SH,17,6,乳业;啤酒概念;养老概念;高股息精选;共同富裕示范区;沪股通,605337
002415.SZ,33,30,同花顺漂亮100;足球概念;养老概念;证金持股;乡村振兴;国企改革;智能家居;人工智能;智慧城市;数字乡村;央企国企改革;物联网;工业互联网;AI应用;机器人概念;无人机;智慧政务;多模态AI;机器视觉;安防;人脸识别;数据安全;同花顺出海50;无人驾驶;芯片概念;汽车电子;深股通;融资融券;光纤概念;存储芯片,002415
605183.SH,17,3,一带一路;专精特新;沪股通,605183
688439.SH,17,18,MCU芯片;芯片概念;第三代半导体;先进封装;商业航天;卫星导航;存储芯片;无人机;专精特新;军工;低空经济;飞行汽车(eVTOL);人形机器人;西部大开发;央企国企改革;国企改革;沪股通;融资融券,688439
300168.SZ,33,35,DRG/DIP;家庭医生;财税数字化;在线教育;虚拟数字人;智慧政务;AI应用;互联网保险;数据要素;数字乡村;MLOps概念;华为鲲鹏;养老概念;鸿蒙概念;数字经济;华为盘古;信创;电子身份证;区块链;AI智能体;DeepSeek概念;移动支付;人工智能;智慧城市;网络安全;时空大数据;安防;乡村振兴;智能医疗;算力租赁;机器人概念;华为概念;数据中心(AIDC);深股通;融资融券,300168
002639.SZ,33,30,可控核聚变;抽水蓄能;雅下水电概念;核电;海工装备;水利;冷链物流;福建自贸区;商业航天;高端装备;一带一路;冰雪产业;数据中心(AIDC);海峡两岸;空气能热泵;体育产业;碳中和;氢能源;液冷服务器;燃料电池;东数西算(算力);华为概念;物联网;数字经济;工业互联网;阿里巴巴概念;天然气;腾讯概念;深股通;融资融券,002639
600769.SH,17,2,国企改革;沪股通,600769
300893.SZ,33,10,华为汽车;网络安全;一带一路;智能座舱;专精特新;新能源汽车;比亚迪概念;汽车电子;深股通;融资融券,300893
605162.SH,17,5,虚拟电厂;绿色电力;碳交易;碳中和;储能,605162
300163.SZ,33,3,建筑节能;专精特新;人民币贬值受益,300163
601611.SH,17,17,可控核聚变;核电;智能电网;风电;水利;储能;军工;中字头股票;一带一路;房屋检测;央企国企改革;PPP概念;国企改革;长三角一体化;同花顺中特估100;沪股通;融资融券,601611
920663.BJ,151,5,新能源汽车;减速器;专精特新;PEEK材料;融资融券,920663
000915.SZ,33,11,高股息精选;医药电商;维生素;创新药;流感;三胎概念;国企改革;消毒剂;污水处理;深股通;融资融券,000915
002729.SZ,33,13,比亚迪概念;新能源汽车;海峡两岸;家用电器;福建自贸区;数据中心(AIDC);充电桩;汽车电子;储能;消费电子概念;光伏概念;风电;融资融券,002729
300105.SZ,33,12,雄安新区;DeepSeek概念;碳中和;固废处理;风电;国企改革;华为概念;PM2.5;超超临界发电;央企国企改革;储能;光伏概念,300105
002392.SZ,33,11,中俄贸易概念;小金属概念;人工智能;AI智能体;特钢概念;碳中和;锂电池概念;固态电池;芯片概念;参股券商;深股通,002392
600422.SH,17,14,医药电商;青蒿素;农业种植;仿制药一致性评价;证金持股;创新药;工业大麻;乡村振兴;养老概念;国企改革;西部大开发;央企国企改革;沪股通;融资融券,600422
002351.SZ,33,14,跨境电商;电子竞技;智能医疗;医疗器械概念;人工智能;语音技术;阿里巴巴概念;智能音箱;星闪概念;无线耳机;智能穿戴;消费电子概念;融资融券;深股通,002351
000159.SZ,33,7,新疆振兴;乡村振兴;西部大开发;一带一路;光伏概念;特高压;融资融券,000159
600158.SH,17,16,赛马概念;足球概念;冰雪产业;体育产业;NFT概念;文化传媒概念;职业教育;旅游概念;在线教育;京津冀一体化;数字经济;国企改革;数据中心(AIDC);沪股通;融资融券;中字头股票,600158
688337.SH,17,6,芯片概念;量子科技;DeepSeek概念;跨境电商;沪股通;融资融券,688337
300083.SZ,33,27,工业母机;新型工业化;人形机器人;一体化压铸;高端装备;比亚迪概念;机器人概念;飞行汽车(eVTOL);小米概念;新能源汽车;无线充电;消费电子概念;军工;智能穿戴;苹果概念;无人机;低空经济;工业互联网;粤港澳大湾区;华为概念;人工智能;液冷服务器;5G;创投;储能;深股通;融资融券,300083
600585.SH,17,11,同花顺中特估100;证金持股;水泥概念;同花顺漂亮100;国企改革;装配式建筑;雅下水电概念;一带一路;储能;沪股通;融资融券,600585
002858.SZ,33,15,体育产业;职业教育;NFT概念;Web3.0;IP经济(谷子经济);在线教育;数字经济;AIGC概念;人工智能;AI应用;百度概念;低空经济;虚拟现实;多模态AI;无人驾驶,002858
603027.SH,17,3,西部大开发;融资融券;沪股通,603027
000501.SZ,33,21,免税店;预制菜;白酒概念;冰雪产业;网红经济;IP经济(谷子经济);物业管理;参股银行;露营经济;跨境电商;文化传媒概念;国企改革;电子竞技;创投;一带一路;数字经济;人工智能;黄金概念;低空经济;深股通;融资融券,000501
600262.SH,17,8,人民币贬值受益;车联网(车路协同);华为概念;无人驾驶;西部大开发;氢能源;国企改革;央企国企改革,600262
605333.SH,17,6,华为汽车;人形机器人;特斯拉概念;新能源汽车;无人机;沪股通,605333
002184.SZ,33,26,新型工业化;机器视觉;机器人概念;智能物流;工业母机;工业互联网;AI应用;信创;华为鲲鹏;高端装备;DeepSeek概念;创投;智能医疗;华为概念;军工;智能电网;东数西算(算力);储能;数据中心(AIDC);光伏概念;5G;虚拟电厂;风电;芯片概念;先进封装;共封装光学(CPO),002184
688593.SH,17,8,电子纸;AI眼镜;MicroLED概念;OLED;智能穿戴;芯片概念;沪股通;融资融券,688593
000819.SZ,33,7,POE胶膜;消毒剂;锂电池概念;国企改革;央企国企改革;深股通;融资融券,000819
920152.BJ,151,9,数据中心(AIDC);钙钛矿电池;储能;专精特新;超级电容;西部大开发;风电;动力电池回收;融资融券,920152
600104.SH,17,24,超级品牌;证金持股;上海国企改革;同花顺漂亮100;参股银行;足球概念;国企改革;网约车;一带一路;独角兽概念;DeepSeek概念;华为汽车;动力电池回收;燃料电池;换电概念;车联网(车路协同);沪股通;融资融券;新能源汽车;2025年报预增;无人驾驶;华为概念;宁德时代概念;固态电池,600104
001396.SZ,33,9,新型城镇化;地下管网;污水处理;智慧城市;人工智能;专精特新;注册制次新股;新股与次新股;融资融券,001396
688191.SH,17,17,特高压;智能电网;专精特新;机器视觉;华为昇腾;无人机;华为概念;风电;水利;数字孪生;多模态AI;人工智能;AI智能体;DeepSeek概念;鸿蒙概念;沪股通;融资融券,688191
603192.SH,17,3,汽车热管理;专精特新;新能源汽车,603192
601566.SH,17,8,网红经济;高股息精选;IP经济(谷子经济);福建自贸区;海峡两岸;2025年报预增;融资融券;沪股通,601566
601702.SH,17,7,锂电池概念;新能源汽车;特斯拉概念;专精特新;比亚迪概念;融资融券;沪股通,601702
603402.SH,17,7,旅游概念;文化传媒概念;国企改革;西部大开发;注册制次新股;新股与次新股;融资融券,603402
002104.SZ,33,23,数字货币;电子身份证;互联网金融;移动支付;区块链;国产操作系统;数字经济;智慧政务;ETC;数据安全;人工智能;网络安全;阿里巴巴概念;一带一路;车联网(车路协同);物联网;华为概念;量子科技;消费电子概念;5G;芯片概念;深股通;融资融券,002104
300771.SZ,33,12,智慧城市;人脸识别;物联网;换电概念;创投;智能医疗;智能物流;无人零售;机器人概念;2025年报预增;无人驾驶;冷链物流,300771
300713.SZ,33,16,智慧灯杆;换电概念;智能电网;充电桩;粤港澳大湾区;数据中心(AIDC);军工;储能;高压快充;比亚迪概念;光伏概念;新能源汽车;柔性直流输电;锂电池概念;特斯拉概念;PCB概念,300713
002928.SZ,33,4,2025年报预增;西部大开发;融资融券;深股通,002928
301533.SZ,33,11,一带一路;跨境电商;农机;乡村振兴;西部大开发;水利;人民币贬值受益;冰雪产业;专精特新;无人驾驶;融资融券,301533
601198.SH,17,7,期货概念;化债概念(AMC概念);互联网金融;国企改革;央企国企改革;沪股通;融资融券,601198
002139.SZ,33,38,人形机器人;两轮车;新型工业化;AI应用;鸿蒙概念;机器人概念;AI智能体;机器视觉;DeepSeek概念;人工智能;安防;无人驾驶;阿里巴巴概念;低空经济;智能家居;物联网;养老概念;新能源汽车;智能座舱;人民币贬值受益;空气能热泵;无人机;粤港澳大湾区;充电桩;储能;无线耳机;智能电网;钠离子电池;高压快充;医美概念;数据中心(AIDC);锂电池概念;无线充电;光伏概念;绿色电力;深股通;液冷服务器;融资融券,002139
920198.BJ,151,15,工业互联网;专精特新;数字孪生;物联网;鸿蒙概念;机器人概念;智慧城市;AI智能体;股权转让(并购重组);融资融券;数据要素;国企改革;安防;创投;人工智能,920198
301267.SZ,33,12,眼科医疗;民营医院;智能医疗;福建自贸区;DeepSeek概念;人工智能;海峡两岸;智能穿戴;5G;AI眼镜;深股通;融资融券,301267
002760.SZ,33,6,数据中心(AIDC);军工;海工装备;金属回收;金属锌;股权转让(并购重组),002760
000796.SZ,33,13,旅游概念;免税店;冰雪产业;体育产业;养老概念;露营经济;海南自贸区;跨境支付(CIPS);互联网金融;乡村振兴;国企改革;海峡两岸;深股通,000796
603085.SH,17,9,三胎概念;大飞机;飞行汽车(eVTOL);碳纤维;低空经济;商业航天;比亚迪概念;新能源汽车;融资融券,603085
920768.BJ,151,5,小米概念;融资融券;家用电器;华为概念;粤港澳大湾区,920768
002879.SZ,33,12,柔性直流输电;智能电网;核电;高铁;商业航天;风电;数据中心(AIDC);抽水蓄能;储能;机器人概念;2025年报预增;液冷服务器,002879
600117.SH,17,8,特钢概念;西部大开发;雅下水电概念;煤炭概念;海工装备;军工;商业航天;沪股通,600117
688579.SH,17,19,智慧政务;数据确权;DRG/DIP;信创;AI智能体;数据要素;AI应用;区块链;虚拟数字人;DeepSeek概念;人工智能;虚拟现实;华为概念;智能医疗;智能电网;虚拟电厂;量子科技;国企改革;融资融券,688579
603599.SH,17,4,草甘膦;染料;沪股通;融资融券,603599
300381.SZ,33,6,NMN概念;维生素;合成生物;可降解塑料;横琴新区;粤港澳大湾区,300381
301632.SZ,33,26,房屋检测;垃圾分类;国企改革;水利;文化传媒概念;建筑节能;光伏建筑一体化;DeepSeek概念;注册制次新股;人工智能;AIGC概念;智慧城市;智能物流;碳中和;AI智能体;低空经济;碳交易;粤港澳大湾区;车联网(车路协同);物联网;机器人概念;光伏概念;5G;深股通;新股与次新股;融资融券,301632
603711.SH,17,4,互联网金融;共同富裕示范区;创投;沪股通,603711
603278.SH,17,8,人形机器人;高端装备;商业航天;一带一路;海峡两岸;风电;生物质能发电;绿色电力,603278
002193.SZ,33,5,新疆振兴;数字经济;ST板块;工业互联网;人民币贬值受益,002193
688015.SH,17,12,职业教育;人工智能;AI应用;元宇宙;车联网(车路协同);DeepSeek概念;区块链;低空经济;京津冀一体化;无人机;2025年报预增;融资融券,688015
300296.SZ,33,40,空间计算;元宇宙;人形机器人;AIGC概念;AI应用;虚拟现实;机器视觉;数据要素;虚拟数字人;智慧灯杆;智慧城市;抖音概念(字节概念);MicroLED概念;人工智能;腾讯概念;DeepSeek概念;无人驾驶;商业航天;华为概念;柔性屏(折叠屏);无人机;京津冀一体化;智能穿戴;小米概念;MiniLED;文化传媒概念;海工装备;消费电子概念;IP经济(谷子经济);雄安新区;AI眼镜;一带一路;旅游概念;体育产业;乡村振兴;芯片概念;OLED;第三代半导体;深股通;融资融券,300296
001368.SZ,33,17,露营经济;冰雪产业;三胎概念;体育产业;足球概念;中俄贸易概念;宠物经济;一带一路;医疗器械概念;福建自贸区;人工智能;人民币贬值受益;海峡两岸;高股息精选;多模态AI;3D打印;新型烟草(电子烟),001368
300419.SZ,33,23,信创;ST板块;网络安全;华为欧拉;量子科技;数据安全;智慧政务;云计算;华为概念;物联网;数据中心(AIDC);东数西算(算力);数据要素;抖音概念(字节概念);百度概念;AI智能体;AI应用;互联网金融;军工;DeepSeek概念;人工智能;快手概念;股权转让(并购重组),300419
300422.SZ,33,16,净水概念;土壤修复;垃圾分类;消毒剂;污水处理;动力电池回收;雄安新区;碳中和;固废处理;PPP概念;食品安全;西部大开发;锂电池概念;国企改革;天然气;无人驾驶,300422
002578.SZ,33,6,国企改革;海峡两岸;宁德时代概念;新能源汽车;光伏概念;5G,002578
920896.BJ,151,10,2025年报预增;专精特新;新能源汽车;机器人概念;风电;融资融券;西部大开发;两轮车;农机;减速器,920896
301260.SZ,33,11,人形机器人;机器人概念;人民币贬值受益;跨境电商;锂电池概念;两轮车;人工智能;无人驾驶;储能;深股通;融资融券,301260
605077.SH,17,5,合成生物;玉米;高股息精选;代糖概念;沪股通,605077
601311.SH,17,18,钠离子电池;动力电池回收;氢能源;固态电池;锂电池概念;燃料电池;一带一路;创投;储能;飞行汽车(eVTOL);长安汽车概念;小米汽车;华为汽车;高股息精选;新能源汽车;比亚迪概念;沪股通;融资融券,601311
300417.SZ,33,4,物联网;专精特新;碳中和;股权转让(并购重组),300417
002138.SZ,33,26,PCB概念;共封装光学(CPO);6G概念;无线充电;5G;汽车电子;AI眼镜;消费电子概念;芯片概念;智能穿戴;传感器;小米概念;数据中心(AIDC);华为概念;新能源汽车;无人机;光伏概念;机器人概念;物联网;储能;固态电池;移动支付;燃料电池;创投;深股通;融资融券,002138
603501.SH,17,21,汽车芯片;AI眼镜;MCU芯片;传感器;OLED;汽车电子;英伟达概念;无线耳机;机器视觉;芯片概念;消费电子概念;小米概念;无人驾驶;华为概念;中芯国际概念;华为手机;人民币贬值受益;医疗器械概念;同花顺漂亮100;融资融券;沪股通,603501
688084.SH,17,6,无人机;军工;高端装备;机器人概念;沪股通;融资融券,688084
300587.SZ,33,8,锂电池概念;固态电池;专精特新;高铁;机器人概念;液冷服务器;融资融券;深股通,300587
000950.SZ,33,21,医药电商;创新药;医美概念;辅助生殖;减肥药;啤酒概念;冷链物流;股权转让(并购重组);三胎概念;统一大市场;医疗器械概念;养老概念;西部大开发;央企国企改革;智能医疗;国企改革;智能物流;创投;机器人概念;融资融券;深股通,000950
920191.BJ,151,2,新股与次新股;融资融券,920191
300791.SZ,33,5,维生素;宠物经济;DeepSeek概念;人民币贬值受益;深股通,300791
688443.SH,17,4,创新药;西部大开发;沪股通;融资融券,688443
300448.SZ,33,24,电力物联网;华为鲲鹏;多模态AI;云计算;鸿蒙概念;百度概念;AI智能体;AI应用;数据要素;人脸识别;安防;物联网;ETC;智慧城市;车联网(车路协同);区块链;人工智能;数字经济;机器视觉;芯片概念;AI眼镜;创投;智能医疗;深股通,300448
002388.SZ,33,17,消费电子概念;富士康概念;有机硅概念;人形机器人;比亚迪概念;华为概念;粤港澳大湾区;无人机;新能源汽车;锂电池概念;光伏概念;固态电池;充电桩;钠离子电池;储能;氟化工概念;摘帽,002388
301027.SZ,33,24,智慧城市;空间计算;数据要素;AIGC概念;建筑节能;车联网(车路协同);数据中心(AIDC);数字乡村;人工智能;DeepSeek概念;数字经济;房屋检测;新型城镇化;光伏建筑一体化;水利;装配式建筑;地下管网;储能;污水处理;一带一路;乡村振兴;绿色电力;西部大开发;融资融券,301027
002646.SZ,33,7,白酒概念;粮食概念;乡村振兴;西部大开发;虚拟数字人;融资融券;深股通,002646
600959.SH,17,33,国资云;短剧游戏;虚拟数字人;AIGC概念;数据要素;文化传媒概念;腾讯概念;元宇宙;数字乡村;云办公;网络安全;DeepSeek概念;数据安全;智慧城市;人工智能;数字孪生;算力租赁;养老概念;工业互联网;东数西算(算力);低空经济;华为概念;食品安全;乡村振兴;数据中心(AIDC);机器视觉;足球概念;国企改革;储能;5G;光伏概念;沪股通;融资融券,600959
002390.SZ,33,17,医药电商;流感;肝炎概念;民营医院;医美概念;农业种植;养老概念;冷链物流;土地流转;基因测序;乡村振兴;医疗器械概念;西部大开发;创投;牙科医疗;深股通;融资融券,002390
600486.SH,17,8,草甘膦;乡村振兴;国企改革;央企国企改革;同花顺出海50;人民币贬值受益;沪股通;融资融券,600486
600868.SH,17,14,绿色电力;储能;水利;氢能源;新型城镇化;水泥概念;时空大数据;数据要素;粤港澳大湾区;智慧城市;职业教育;小金属概念;融资融券;沪股通,600868
002266.SZ,33,25,金属镍;金属钴;小金属概念;金属锌;金属铜;金属铅;黄金概念;金属回收;汽车拆解概念;动力电池回收;可控核聚变;核电;高端装备;一带一路;固废处理;创投;碳中和;雅下水电概念;共同富裕示范区;水利;文化传媒概念;绿色电力;抽水蓄能;深股通;融资融券,002266
603077.SH,17,22,草甘膦;磷化工;化肥;丙烯酸;金属铜;金属铅;金属锌;稀土永磁;硅能源;锂电池概念;黄金概念;西部大开发;天然气;参股银行;一带一路;建筑节能;航运概念;绿色电力;光伏概念;TOPCON电池;沪股通;融资融券,603077
603679.SH,17,29,智慧灯杆;东数西算(算力);数据中心(AIDC);华为概念;华为数字能源;锂电池概念;换电概念;数字孪生;新能源汽车;物联网;储能;充电桩;无人驾驶;卫星导航;智慧城市;腾讯概念;车联网(车路协同);智能家居;低空经济;AI智能体;智慧政务;人工智能;数据要素;DeepSeek概念;虚拟电厂;创投;虚拟数字人;AI应用;西部大开发,603679
300552.SZ,33,18,人形机器人;机器视觉;智能座舱;数字孪生;车联网(车路协同);机器人概念;数据要素;毫米波雷达;无人驾驶;星闪概念;传感器;智慧城市;ETC;华为概念;低空经济;汽车电子;京津冀一体化;深股通,300552
688059.SH,17,8,工业母机;PCB概念;专精特新;机器人概念;2025年报预增;2026一季报预增;沪股通;融资融券,688059
300684.SZ,33,28,AI PC;富士康概念;液冷服务器;消费电子概念;共封装光学(CPO);5G;苹果概念;汽车电子;无线充电;同花顺果指数;智能座舱;小米概念;数据中心(AIDC);MR(混合现实);华为概念;比亚迪概念;虚拟现实;光伏概念;无人机;新能源汽车;充电桩;2025年报预增;储能;汽车热管理;石墨烯;一带一路;京津冀一体化;深股通,300684
300009.SZ,33,14,生物疫苗;仿制药一致性评价;创新药;肝炎概念;流感;辅助生殖;细胞免疫治疗;民营医院;基因测序;医疗器械概念;智能医疗;人工智能;深股通;融资融券,300009
300956.SZ,33,16,AI PC;光伏建筑一体化;小米概念;人民币贬值受益;储能;机器人概念;消费电子概念;专精特新;绿色电力;锂电池概念;HJT电池;人形机器人;光伏概念;固态电池;TOPCON电池;融资融券,300956
600258.SH,17,7,旅游概念;国企改革;京津冀一体化;人工智能;阿里巴巴概念;沪股通;融资融券,600258
688513.SH,17,6,创新药;仿制药一致性评价;智能医疗;西部大开发;沪股通;融资融券,688513
000011.SZ,33,8,深圳国企改革;物业管理;化债概念(AMC概念);新型城镇化;国企改革;一带一路;粤港澳大湾区;深股通,000011
605388.SH,17,5,幽门螺杆菌概念;乳业;跨境电商;三胎概念;白酒概念,605388
000791.SZ,33,10,超超临界发电;绿色电力;风电;东数西算(算力);数据中心(AIDC);国企改革;西部大开发;股权转让(并购重组);融资融券;深股通,000791
603058.SH,17,11,烟草;AIGC概念;AI智能体;创投;IP经济(谷子经济);短剧游戏;西部大开发;工业大麻;芯片概念;第三代半导体;股权转让(并购重组),603058
300101.SZ,33,19,国产航母;卫星导航;军民融合;商业航天;时空大数据;军工;无人机;专精特新;物联网;机器视觉;人工智能;智慧城市;机器人概念;5G;芯片概念;西部大开发;共封装光学(CPO);深股通;融资融券,300101
300778.SZ,33,11,换电概念;低空经济;智慧城市;华为概念;粤港澳大湾区;垃圾分类;水利;新型城镇化;地下管网;乡村振兴;绿色电力,300778
002268.SZ,33,44,国产操作系统;华为鲲鹏;数据安全;财税数字化;网络安全;智慧政务;移动支付;信创;区块链;鸿蒙概念;数字货币;数据要素;互联网金融;国资云;云办公;智慧城市;跨境支付(CIPS);数字孪生;数字经济;腾讯概念;车联网(车路协同);人工智能;数字水印;物联网;工业互联网;量子科技;低空经济;水利;华为概念;EDR概念;乡村振兴;军工;卫星导航;雅下水电概念;商业航天;西部大开发;国企改革;5G;汽车电子;消费电子概念;芯片概念;汽车芯片;深股通;融资融券,002268
603160.SH,17,30,MCU芯片;汽车芯片;中芯国际概念;OLED;芯片概念;电子纸;AI手机;汽车电子;智能穿戴;消费电子概念;AI眼镜;虚拟现实;传感器;星闪概念;无线耳机;智能座舱;小米概念;华为概念;物联网;粤港澳大湾区;人工智能;鸿蒙概念;智能家居;人脸识别;新能源汽车;AI应用;智能医疗;长安汽车概念;沪股通;融资融券,603160
300942.SZ,33,7,宠物经济;食品安全;医疗器械概念;流感;粤港澳大湾区;专精特新;融资融券,300942
002022.SZ,33,7,猴痘概念;流感;宠物经济;肝炎概念;医疗器械概念;食品安全;智能医疗,002022
000639.SZ,33,7,NMN概念;ST板块;网红经济;维生素;体育产业;跨境电商;阿里巴巴概念,000639
600807.SH,17,6,生态农业;物业管理;医疗器械概念;国企改革;基因测序;猴痘概念,600807
002250.SZ,33,9,氟化工概念;锂电池概念;2025年报预增;人民币贬值受益;CRO概念;创新药;证金持股;深股通;融资融券,002250
002252.SZ,33,5,创新药;重组蛋白;合成生物;深股通;融资融券,002252
301055.SZ,33,11,物联网;2025年报预增;家用电器;AI智能体;DeepSeek概念;NFT概念;露营经济;IP经济(谷子经济);跨境电商;超级品牌;融资融券,301055
603030.SH,17,10,装配式建筑;建筑节能;新型城镇化;长三角一体化;人工智能;跨境电商;物联网;智能家居;一带一路;养老概念,603030
600415.SH,17,27,IP经济(谷子经济);网红经济;超级品牌;统一大市场;跨境电商;参股券商;虚拟数字人;AI应用;跨境支付(CIPS);阿里巴巴概念;DeepSeek概念;数字货币;数据要素;互联网金融;绿色电力;中俄贸易概念;人工智能;共同富裕示范区;国企改革;数字经济;移动支付;同花顺中特估100;一带一路;同花顺出海50;数据中心(AIDC);沪股通;融资融券,600415
300300.SZ,33,18,家庭医生;独角兽概念;数字经济;智慧城市;海峡两岸;文化传媒概念;人工智能;智能医疗;创投;东数西算(算力);国企改革;医疗器械概念;充电桩;数据中心(AIDC);2025年报预增;深股通;融资融券;摘帽,300300
300837.SZ,33,6,固废处理;金属铅;共同富裕示范区;雅下水电概念;专精特新;动力电池回收,300837
001386.SZ,33,13,参股银行;旅游概念;乡村振兴;固废处理;AIGC概念;生物质能发电;人工智能;绿色电力;粤港澳大湾区;注册制次新股;深股通;新股与次新股;融资融券,001386
920422.BJ,151,2,融资融券;人民币贬值受益,920422
300071.SZ,33,22,小红书概念;AI视频;Web3.0;AI语料;ChatGPT概念;AIGC概念;虚拟数字人;多模态AI;文化传媒概念;AI应用;数据要素;抖音概念(字节概念);百度概念;元宇宙;腾讯概念;数字经济;DeepSeek概念;人工智能;京津冀一体化;华为概念;比亚迪概念;深股通,300071
605068.SH,17,6,新能源汽车;比亚迪概念;华为汽车;长安汽车概念;机器人概念;人形机器人,605068
001257.SZ,33,9,金属铅;金属锌;金属铜;小金属概念;注册制次新股;国企改革;深股通;新股与次新股;融资融券,001257
002454.SZ,33,17,长安汽车概念;汽车热管理;低空经济;一带一路;华为汽车;飞行汽车(eVTOL);数字经济;新能源汽车;冷链物流;2025年报预增;比亚迪概念;华为概念;储能;宁德时代概念;汽车电子;深股通;融资融券,002454
301656.SZ,33,8,注册制次新股;减速器;小米汽车;新能源汽车;小米概念;深股通;新股与次新股;融资融券,301656
002700.SZ,33,3,天然气;新疆振兴;西部大开发,002700
000869.SZ,33,5,超级品牌;旅游概念;国企改革;深股通;融资融券,000869
603166.SH,17,12,减速器;人形机器人;农机;机器人概念;专精特新;新能源汽车;AI应用;比亚迪概念;西部大开发;2025年报预增;融资融券;沪股通,603166
688559.SH,17,29,MicroLED概念;苹果概念;富士康概念;电子纸;消费电子概念;新型工业化;3D打印;钙钛矿电池;特斯拉概念;比亚迪概念;PCB概念;先进封装;新能源汽车;第三代半导体;BC电池;宁德时代概念;液冷服务器;飞行汽车(eVTOL);光伏概念;华为概念;固态电池;HJT电池;锂电池概念;TOPCON电池;储能;医疗器械概念;医美概念;沪股通;融资融券,688559
002626.SZ,33,11,NMN概念;维生素;合成生物;医药电商;医美概念;跨境电商;人民币贬值受益;福建自贸区;海峡两岸;深股通;融资融券,002626
920580.BJ,151,7,锂电池概念;2025年报预增;硅能源;第三代半导体;融资融券;钠离子电池;专精特新,920580
300015.SZ,33,16,眼科医疗;民营医院;同花顺漂亮100;医美概念;养老概念;医疗器械概念;智能医疗;创投;虚拟数字人;DeepSeek概念;人工智能;AI智能体;深股通;融资融券;智能穿戴;AI眼镜,300015
301289.SZ,33,15,军民融合;成飞概念;海工装备;核电;职业教育;特高压;储能;风电;上海国企改革;国企改革;超导概念;6G概念;钒电池;光纤概念;融资融券,301289
300365.SZ,33,42,电力物联网;虚拟电厂;智慧政务;信创;智能电网;数据要素;鸿蒙概念;智慧城市;时空大数据;MLOps概念;AI智能体;换电概念;华为数字能源;物联网;AIGC概念;在线教育;光伏建筑一体化;AI应用;数字经济;空间计算;人工智能;DeepSeek概念;东数西算(算力);职业教育;碳中和;水利;工业互联网;京津冀一体化;储能;数据中心(AIDC);风电;华为概念;碳交易;低空经济;柔性直流输电;无人机;特高压;养老概念;机器视觉;一带一路;氢能源;燃料电池,300365
605136.SH,17,7,网红经济;三胎概念;跨境电商;乡村振兴;拼多多概念;创投;抖音概念(字节概念),605136
920118.BJ,151,8,储能;柔性直流输电;智能电网;新能源汽车;光伏概念;工业互联网;专精特新;融资融券,920118
920429.BJ,151,11,军民融合;人工智能;AI应用;预制菜;融资融券;DeepSeek概念;体育产业;京津冀一体化;职业教育;数字经济;网红经济,920429
601121.SH,17,9,金属铜;金属锌;黄金概念;金属铅;新疆振兴;西部大开发;国企改革;股权转让(并购重组);沪股通,601121
300451.SZ,33,25,家庭医生;DRG/DIP;养老概念;AI应用;AIGC概念;区块链;数据要素;鸿蒙概念;AI智能体;智能医疗;DeepSeek概念;人工智能;华为鲲鹏;蚂蚁集团概念;阿里巴巴概念;信创;云计算;医疗器械概念;物联网;华为昇腾;医药电商;华为概念;深股通;股权转让(并购重组);融资融券,300451
600161.SH,17,5,肝炎概念;国企改革;央企国企改革;沪股通;融资融券,600161
603877.SH,17,3,共同富裕示范区;沪股通;融资融券,603877
920579.BJ,151,27,无人驾驶;比亚迪概念;高端装备;污水处理;芯片概念;机器人概念;物联网;新能源汽车;机器视觉;高铁;第三代半导体;智能物流;车联网(车路协同);智能医疗;烟草;融资融券;工业互联网;固废处理;专精特新;数字孪生;京津冀一体化;垃圾分类;国企改革;一体化压铸;新型工业化;央企国企改革;工业母机,920579
000921.SZ,33,11,高股息精选;家用电器;空气能热泵;深股通;融资融券;智能家居;汽车热管理;人形机器人;新能源汽车;DeepSeek概念;粤港澳大湾区,000921
920242.BJ,151,12,传感器;新能源汽车;毫米波雷达;机器人概念;一带一路;汽车拆解概念;融资融券;特斯拉概念;跨境电商;人民币贬值受益;汽车电子;无人驾驶,920242
002313.SZ,33,28,智慧灯杆;智慧城市;东数西算(算力);阿里巴巴概念;物联网;数据中心(AIDC);车联网(车路协同);DeepSeek概念;华为概念;人工智能;工业互联网;粤港澳大湾区;充电桩;智能家居;新疆振兴;储能;液冷服务器;机器人概念;小米概念;无人机;5G;卫星导航;比亚迪概念;国企改革;无人驾驶;智能座舱;汽车电子;股权转让(并购重组),002313
603969.SH,17,17,高铁;高端装备;光伏概念;水利;一带一路;储能;核电;创投;地下管网;雄安新区;风电;京津冀一体化;新疆振兴;水泥概念;绿色电力;沪股通;融资融券,603969
603109.SH,17,14,无人机;专精特新;新能源汽车;数据中心(AIDC);机器人概念;人民币贬值受益;储能;水利;农机;中俄贸易概念;一带一路;西部大开发;乡村振兴;沪股通,603109
301262.SZ,33,24,短剧游戏;文化传媒概念;IP经济(谷子经济);AIGC概念;在线教育;AI应用;抖音概念(字节概念);DeepSeek概念;腾讯概念;人工智能;数字经济;旅游概念;智慧政务;数字乡村;养老概念;数字孪生;语音技术;人脸识别;宠物经济;国企改革;虚拟现实;东数西算(算力);深股通;融资融券,301262
603082.SH,17,11,新型工业化;机器人概念;数字孪生;智能物流;军工;京津冀一体化;冷链物流;国企改革;央企国企改革;沪股通;融资融券,603082
603589.SH,17,3,白酒概念;沪股通;融资融券,603589
